type,SampID,Experiment,Timepoint,ionization,runDate,N.lab,C.lab,Precursor Ion Name,Protein Name,Fraction1,iso.mz,MID.mean,MID.sd,Area.filled.w.background.mean,Area.filled.w.background.sd
Smp,GBTFate1MT0,Fate1,0,pos,200612,0,0,Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,CyanoAq,232.154884,0.9439566445708149,0.00475843899576392,212676,48759.69639979314
Smp,GBTFate1MT0,Fate1,0,pos,200612,0,0,L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,CyanoAq,166.086804,0.9262177789315068,0.0032231032272491637,8187245.666666667,1573794.8069720948
Smp,GBTFate1MT0,Fate1,0,pos,200612,0,0,L-Tryptophan_13C-0 15N-0,L-Tryptophan,CyanoAq,205.097703,0.8644650159041991,0.08490124863855598,812130.3333333334,522724.062781056
Smp,GBTFate1MT0,Fate1,0,pos,200612,0,0,Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,CyanoAq,298.097387,0.8814641256147091,0.03448568882708713,240489,138424.77756167788
Smp,GBTFate1MT0,Fate1,0,pos,200612,0,0,Xanthine_13C-0 15N-0,Xanthine,CyanoAq,153.041251,1,0,1731014.6666666667,234406.30152863497
Smp,GBTFate1MT0,Fate1,0,pos,200612,0,1,Butyrylcarnitine_13C-1 15N-0,Butyrylcarnitine,CyanoAq,233.158238,0.056043355429185114,0.0047584389957638674,12541.333333333334,2388.5644921863286
Smp,GBTFate1MT0,Fate1,0,pos,200612,0,1,L-Phenylalanine_13C-1 15N-0,L-Phenylalanine,CyanoAq,167.090158,0.07103321310638955,0.002969019633048659,631242.6666666666,143700.36368198006
Smp,GBTFate1MT0,Fate1,0,pos,200612,0,1,L-Tryptophan_13C-1 15N-0,L-Tryptophan,CyanoAq,206.101057,0.09927334276558716,0.023849926725727312,81175,39984.901487936666
Smp,GBTFate1MT0,Fate1,0,pos,200612,0,1,Methylthioadenosine_13C-1 15N-0,Methylthioadenosine,CyanoAq,299.100741,0.0764287388665574,0.03846003745892032,24168,18817.884657952392
Smp,GBTFate1MT0,Fate1,0,pos,200612,0,2,L-Phenylalanine_13C-2 15N-0,L-Phenylalanine,CyanoAq,168.093512,0.001312165705255906,2.8619205595122466e-4,11481.666666666666,2960.4981562793337
Smp,GBTFate1MT0,Fate1,0,pos,200612,0,2,L-Tryptophan_13C-2 15N-0,L-Tryptophan,CyanoAq,207.104411,0,0,0,0
Smp,GBTFate1MT0,Fate1,0,pos,200612,1,0,L-Phenylalanine_13C-0 15N-1,L-Phenylalanine,CyanoAq,167.08384,0.0014368422568476935,8.451118542001058e-4,13430,9724.605441867552
Smp,GBTFate1MT0,Fate1,0,pos,200612,1,0,L-Tryptophan_13C-0 15N-1,L-Tryptophan,CyanoAq,206.094739,6.748267936065069e-4,0.0011688342928352663,882.3333333333334,1528.2461625449394
Smp,GBTFate1MT0,Fate1,0,pos,200612,1,3,L-Tryptophan_13C-3 15N-1,L-Tryptophan,CyanoAq,209.104801,0.03558681453660726,0.06163817085693446,10043.666666666666,17396.140960952613
Smp,GBTFate1MT0,Fate1,0,pos,200612,1,5,Methylthioadenosine_13C-5 15N-1,Methylthioadenosine,CyanoAq,304.111193,0.04210713551873354,0.07293169807963458,4576.666666666667,7927.019195973562
Smp,GBTFate1MT12,Fate1,12,pos,200612,0,0,Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,CyanoAq,232.154884,0.9352552131036879,0.017162122786225486,203732,105675.22216205651
Smp,GBTFate1MT12,Fate1,12,pos,200612,0,0,L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,CyanoAq,166.086804,0.9186234139442369,0.019146502803024126,10156141,3997994.4141216604
